real,approx,threshold,abs_error_percentage,approx paths given
14881.02,16120.9,10.97,8.331955739593115,True
15492.03,15492.03,10.97,0.0,False
4521.36,4521.36,9.88,0.0,False
17856.93,18309.26,7.62,2.5330781942920657,True
11478.42,11563.32,7.62,0.7396488366865791,True
9696.56,9696.56,7.62,0.0,False
5550.42,5550.42,7.62,0.0,False
6358.44,6531.96,9.1,2.7289712571008056,True
14995.83,15084.2,9.1,0.5892971579432469,True
9124.12,9124.12,6.22,0.0,False
18139.53,18139.53,6.22,0.0,False
12298.97,12298.97,6.22,0.0,False
6927.12,6977.94,6.22,0.7336382219450466,True
-1.0,-1.0,10.09,-0.0,False
-1.0,-1.0,13.18,-0.0,False
2529.15,2529.15,13.18,0.0,False
-1.0,-1.0,13.41,-0.0,False
7396.99,7396.99,6.75,0.0,False
-1.0,-1.0,6.75,-0.0,False
4293.0,4293.0,6.75,0.0,False
17923.28,18219.21,8.98,1.6510928803210145,True
3597.34,3597.34,8.98,0.0,False
3236.74,3236.74,7.32,0.0,False
7653.97,7653.97,7.32,0.0,False
8015.61,8015.61,7.32,0.0,False
-1.0,-1.0,7.4,-0.0,False
15575.43,15742.08,7.4,1.0699544089633457,True
3335.16,3335.16,7.4,0.0,False
6939.31,7430.31,7.4,7.075631438860635,True
8379.02,8400.72,14.33,0.258980167131704,True
15257.67,15501.0,14.33,1.5948044491721207,True
-1.0,-1.0,14.33,-0.0,False
12323.28,12323.28,9.23,0.0,False
15574.77,15849.2,9.23,1.7620163893270993,True
12739.08,12870.78,9.23,1.0338266185627276,True
911.04,911.04,9.23,0.0,False
-1.0,-1.0,8.81,-0.0,False
15478.08,16080.7,14.51,3.8933769563150005,True
6241.96,6919.39,10.55,10.852841094784335,True
-1.0,-1.0,10.55,-0.0,False
16293.34,16341.75,5.66,0.2971152630461272,True
-1.0,-1.0,5.66,-0.0,False
